,video_id,root_dir,narration_id,narration,narration_timestamp,start_frame,end_frame,verb_class,noun_class
48,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_48,pick up colander,00:01:22.601,4031,4218,0,39
49,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_49,put down colander,00:01:24.350,4118,4331,1,39
50,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_50,pick up cup,00:01:26.600,4231,4381,0,13
51,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_51,put down cup,00:01:27.600,4281,4418,1,13
52,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_52,open cupboard,00:01:28.350,4318,4493,3,3
53,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_53,pick up cereals,00:01:29.850,4393,4531,0,99
54,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_54,close cupboard,00:01:30.601,4431,4581,4,3
55,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_55,open cereal box,00:01:31.600,4481,4606,3,23
56,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_56,put down cereal,00:01:32.102,4506,4668,1,99
57,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_57,take cereal bag,00:01:33.350,4568,4718,0,19
58,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_58,move cereal box,00:01:34.356,4618,4793,11,23
59,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_59,open cereal bag,00:01:35.850,4693,4956,3,19
60,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_60,pour cereals into cup,00:01:39.100,4856,5468,9,99
61,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_61,pick up nuts,00:01:49.358,5368,5481,0,133
62,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_62,put down nuts,00:01:49.600,5381,5568,1,133
63,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_63,fold cereal bag,00:01:51.350,5468,5868,28,19
64,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_64,put cereal bag into box,00:01:57.350,5768,5956,5,19
65,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_65,close cereals box,00:01:59.100,5856,6093,4,23
66,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_66,pick up cereals box,00:02:01.850,5993,6131,0,23
67,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_67,open cupboard,00:02:02.609,6031,6156,3,3
68,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_68,put cereals into cupboard,00:02:03.101,6056,6243,5,99
69,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_69,close cupboard,00:02:04.850,6143,6318,4,3
70,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_70,open fridge,00:02:06.350,6218,6368,3,12
71,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_71,pick up soy milk,00:02:07.351,6268,6418,0,64
72,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_72,put down soy milk,00:02:08.351,6318,6506,1,64
73,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_73,pick up food container,00:02:10.100,6406,6544,0,21
74,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_74,close fridge,00:02:10.864,6444,6581,4,12
75,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_75,put down food container,00:02:11.600,6481,6643,1,21
76,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_76,pick up soy milk,00:02:12.850,6543,6706,0,64
77,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_77,shake soy milk,00:02:14.100,6606,6856,15,64
78,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_78,twist off cap,00:02:17.100,6756,6931,71,118
79,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_79,pour milk,00:02:18.601,6831,7181,9,64
80,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_80,twist off cap,00:02:23.600,7081,7293,71,118
81,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_81,open fridge,00:02:25.850,7193,7381,3,12
82,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_82,put soy milk into fridge,00:02:27.602,7281,7418,5,64
83,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_83,close fridge,00:02:28.350,7318,7506,4,12
84,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_84,open drawer,00:02:30.100,7406,7568,3,8
85,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_85,take tea towel,00:02:31.350,7468,7581,0,52
86,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_86,close drawer,00:02:31.603,7481,7668,4,8
87,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_87,open drawer,00:02:33.350,7568,7731,3,8
88,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_88,pick up spoon,00:02:34.600,7631,7756,0,1
89,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_89,close drawer,00:02:35.101,7656,7781,4,8
90,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_90,put spoon into cup,00:02:35.601,7681,7843,5,1
91,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_91,pick up cup,00:02:36.850,7743,8181,0,13
92,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_92,put down cup,00:02:43.600,8081,8381,1,13
93,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_93,turn on lights,00:02:47.600,8281,8493,6,114
94,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_94,unfold tea towel,00:02:49.850,8393,8618,39,52
95,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_95,put down tea towel,00:02:52.351,8518,8681,1,52
96,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_96,move tea towel,00:02:53.601,8581,8781,11,52
97,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_97,put down cup,00:02:55.601,8681,8906,1,13
98,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_0,pick up container,00:00:01.101,1,131,0,21
99,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_1,open cupboard,00:00:02.601,31,231,3,3
100,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_2,pick up container,00:00:04.601,131,256,0,21
101,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_3,put down containers,00:00:05.101,156,318,1,21
102,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_4,open container,00:00:06.351,218,368,3,21
103,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_5,put down lid,00:00:07.351,268,406,1,6
104,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_6,open container,00:00:08.101,306,481,3,21
105,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_7,put down lid,00:00:09.601,381,506,1,6
106,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_8,pick up container,00:00:10.108,406,543,0,21
107,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_9,pick up lid,00:00:10.851,443,568,0,6
108,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_10,put container into container,00:00:11.350,468,593,5,21
109,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_11,put down lid,00:00:11.858,493,656,1,6
110,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_12,pick up container,00:00:13.101,556,718,0,21
111,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_13,take container from container,00:00:14.351,618,806,0,21
112,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_14,put down container,00:00:16.101,706,856,1,21
113,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_15,put containers into container,00:00:17.101,756,968,5,21
114,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_16,take lid,00:00:19.351,868,1106,0,6
115,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_17,put container into container,00:00:22.101,1006,1231,5,21
116,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_18,put lid into cupboard,00:00:24.601,1131,1356,5,6
117,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_19,put container into container,00:00:27.101,1256,1406,5,21
118,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_20,put container into cupboard,00:00:28.100,1306,1493,5,21
119,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_21,pick up lid,00:00:29.851,1393,1531,0,6
120,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_22,put down lid,00:00:30.600,1431,1543,1,6
121,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_23,pick up lid,00:00:30.850,1443,1581,0,6
122,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_24,put down lid,00:00:31.601,1481,1606,1,6
123,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_25,pick up lid,00:00:32.101,1506,1643,0,6
124,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_26,put down lid,00:00:32.851,1543,1656,1,6
125,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_27,pick up container,00:00:33.101,1556,1718,0,21
126,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_28,put container into cupboard,00:00:34.351,1618,1743,5,21
127,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_29,close cupboard,00:00:34.850,1643,1831,4,3
128,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_30,pick up pot,00:00:36.600,1731,1918,0,29
129,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_31,open steam cooker,00:00:38.350,1818,1943,3,152
130,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_32,put pot into steam cooker,00:00:38.851,1843,1993,5,29
131,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_33,pick up tray,00:00:39.851,1893,2018,0,35
132,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_34,put tray into steam cooker,00:00:40.350,1918,2044,5,35
133,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_35,close steam cooker,00:00:40.865,1944,2093,4,152
134,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_36,pick up fork and cup,00:00:41.850,1993,2256,0,14
135,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_37,pick up cup,00:00:45.101,2156,2293,0,13
136,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_38,put down cup,00:00:45.851,2193,2343,1,13
137,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_39,put down cup,00:00:46.850,2243,2456,1,13
138,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_40,open drawer,00:00:49.101,2356,2493,3,8
139,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_41,put spoon into drawer,00:00:49.850,2393,2543,5,1
140,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_42,close drawer,00:00:50.850,2443,2706,4,8
141,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_43,open cupboard,00:00:54.101,2606,2756,3,3
142,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_44,pick up cutting board,00:00:55.101,2656,2818,0,18
143,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_45,close cupboard,00:00:56.350,2718,2843,4,3
144,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_46,put down cutting board,00:00:56.851,2743,2931,1,18
145,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_47,open fridge,00:00:58.601,2831,3018,3,12
146,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_48,pick up mushrooms,00:01:00.350,2918,3069,0,56
147,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_49,put down mushrooms,00:01:01.362,2969,3168,1,56
148,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_50,pick up pak choi,00:01:03.350,3068,3256,0,151
149,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_51,put down pak choi,00:01:05.101,3156,3318,1,151
150,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_52,move cheese,00:01:06.352,3218,3381,11,32
151,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_53,move container,00:01:07.614,3281,3406,11,21
152,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_54,pick up container,00:01:08.101,3306,3481,0,21
153,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_55,put down container,00:01:09.601,3381,3543,1,21
154,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_56,pick up tofu,00:01:10.850,3443,3631,0,81
155,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_57,put down tofu,00:01:12.613,3531,3705,1,81
156,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_58,open drawer,00:01:14.100,3605,3768,3,8
157,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_59,pick up carrot,00:01:15.358,3668,3818,0,41
158,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_60,put down carrot,00:01:16.350,3718,4131,1,41
159,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_61,pick up courgette,00:01:22.601,4031,4193,0,76
160,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_62,put down courgette,00:01:23.851,4093,4293,1,76
161,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_63,close drawer,00:01:25.851,4193,4356,4,8
162,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_64,close fridge,00:01:27.101,4256,4456,4,12
163,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_65,pick up pak choi,00:01:29.101,4356,4531,0,151
164,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_66,put down pak choi,00:01:30.613,4431,4556,1,151
165,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_67,pick up courgette,00:01:31.101,4456,4656,0,76
166,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_68,turn on tap,00:01:33.100,4556,4693,6,0
167,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_69,wash courgette,00:01:33.851,4593,5318,2,76
168,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_70,turn off tap,00:01:46.351,5218,5356,8,0
169,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_71,shake courgette,00:01:47.100,5256,5593,15,76
170,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_72,put down courgette,00:01:51.850,5493,5656,1,76
171,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_73,move kettle,00:01:53.101,5556,5793,11,44
172,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_74,take knife,00:01:55.851,5693,5881,0,4
173,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_75,grab courgette,00:01:57.600,5781,5931,0,76
174,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_76,slice courgette,00:01:58.600,5831,6143,7,76
175,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_77,put down knife,00:02:02.852,6043,6206,1,4
176,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_78,open cupboard,00:02:04.100,6106,6331,3,3
177,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_79,take wok,00:02:06.601,6231,6356,0,5
178,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_80,take pans,00:02:07.102,6256,6406,0,5
179,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_81,put down pans,00:02:08.101,6306,6481,1,5
180,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_82,close cupboard,00:02:09.600,6381,6568,4,3
181,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_83,close cupboard,00:02:11.359,6468,6656,4,3
182,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_84,pick up carrot,00:02:13.100,6556,6681,0,41
183,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_85,put down carrot,00:02:13.601,6581,6706,1,41
184,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_86,put down wok,00:02:14.101,6606,6731,1,5
185,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_87,pick up knife,00:02:14.600,6631,6756,0,4
186,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_88,grab courgette,00:02:15.112,6656,6793,0,76
187,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_89,slice courgette,00:02:15.852,6693,8193,7,76
188,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_90,dice courgette,00:02:43.851,8093,8456,7,76
189,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_91,pick up courgette dice,00:02:49.101,8356,8493,0,76
190,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_92,put courgette dice into wok,00:02:49.853,8393,8568,5,76
191,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_93,move courgette slices,00:02:51.350,8468,8631,11,76
192,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_94,dice courgette,00:02:52.615,8531,8756,7,76
193,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_95,pick up courgette dice,00:02:55.101,8656,8806,0,76
194,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_96,put courgette dice into wok,00:02:56.101,8706,8831,5,76
195,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_97,move courgette slices,00:02:56.600,8731,9118,11,76
196,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_98,dice courgette,00:03:02.351,9018,9231,7,76
197,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_99,pick up courgette dice,00:03:04.600,9131,9256,0,76
198,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_100,put courgette dice into wok,00:03:05.101,9156,9293,5,76
199,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_101,move courgette slices,00:03:05.852,9193,9393,11,76
200,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_102,dice courgette,00:03:07.851,9293,9518,7,76
201,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_103,pick up courgette dice,00:03:10.351,9418,9556,0,76
202,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_104,put courgette dice into wok,00:03:11.100,9456,9618,5,76
203,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_105,move courgette slices,00:03:12.351,9518,9668,11,76
204,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_106,dice courgette,00:03:13.351,9568,9831,7,76
205,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_107,pick up courgette dice,00:03:16.601,9731,9856,0,76
206,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_108,put courgette dice into wok,00:03:17.101,9756,9981,5,76
207,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_109,move courgette slices,00:03:19.613,9881,10068,11,76
208,P01_105,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_105_110,dice courgette,00:03:21.350,9968,10206,7,76
